Gene	Clade_0	Clade_1	Clade_2	Clade_3	Clade	Ecotype	Allele	Name	File	HV
9600_T287-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9600	1	9600_G287	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9134_T262-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9134	1	9134_G262	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9669_T332-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9669	1	9669_G332	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9610_T271-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9610	1	9610_G271	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7373_T217-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7373	1	7373_G217	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9887_T317-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9887	1	9887_G317	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7322_T271-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7322	1	7322_G271	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9871_T373.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9871	1	9871_G373.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9947_T268-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9947	1	9947_G268	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9545_T384-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9545	1	9545_G384	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9542_T337.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9542	1	9542_G337.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9554_T318-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9554	1	9554_G318	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
6981_T407.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	6981	1	6981_G407.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9944_T276.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9944	1	9944_G276.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7186_T327-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7186	1	7186_G327	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9837_T337.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9837	1	9837_G337.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9536_T221.1-R3	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9536	3	9536_G221.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
6899_T389.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	6899	1	6899_G389.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9518_T422-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9518	1	9518_G422	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9536_T221.1-R2	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9536	2	9536_G221.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9654_T313-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9654	1	9654_G313	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9583_T348.1-R3	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9583	3	9583_G348.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7396_T256.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7396	1	7396_G256.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9583_T348.1-R2	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9583	2	9583_G348.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
5993_T366.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	5993	1	5993_G366.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
